Cell,HTAN_Biospecimen_ID,subtype
RU1311A_T_1_165945547864806,HTA8_2016_1,SCLC-A
PleuralEffusion_235007433161052,HTA8_2001_1,SCLC-A
RU779D_231906420612515,HTA8_2019_1,SCLC-N
RU1145_133982151621558,HTA8_2008_1,SCLC-A
RU779D_236700571186918,HTA8_2019_1,SCLC-N
RU1065C_133921888226605,HTA8_2002_1,SCLC-A
PleuralEffusion_235695789467422,HTA8_2001_1,SCLC-A
RU1124A_LN_191553055643957,HTA8_2006_1,SCLC-A
RU1080C_125262248402349,HTA8_2004_1,SCLC-A
RU1065C_227494296472805,HTA8_2002_1,SCLC-A
RU779D_205913427954979,HTA8_2019_1,SCLC-N
RU1065C_169039938120420,HTA8_2002_1,SCLC-A
RU1065C_235214396607853,HTA8_2002_1,SCLC-A
RU1108a_RPMI_226205925292765,HTA8_2005_3,SCLC-A
PleuralEffusion_241106375359283,HTA8_2001_1,SCLC-A
RU1231A_227509474908467,HTA8_2014_1,SCLC-N
RU779D_157680542594867,HTA8_2019_1,SCLC-N
RU1293A_157062481788340,HTA8_2015_1,SCLC-N
RU1065C_161326283254638,HTA8_2002_1,SCLC-A
RU1108a_Bambanker_235120042363691,HTA8_2005_1,SCLC-A
RU1311A_T_1_231281517809011,HTA8_2016_1,SCLC-A
RU1065C_122291519417117,HTA8_2002_1,SCLC-A
RU1195A_121887358105438,HTA8_2011_1,SCLC-A
RU1181C_170113833327516,HTA8_2010_1,SCLC-N
RU1065C_125059311226212,HTA8_2002_1,SCLC-A
RU1152_195486065051357,HTA8_2009_1,SCLC-A
RU779D_130118782508253,HTA8_2019_1,SCLC-N
RU1065C_164693565368044,HTA8_2002_1,SCLC-A
RU1124A_LN_157684197932316,HTA8_2006_1,SCLC-A
RU1195A_130538496277355,HTA8_2011_1,SCLC-A
RU1065C_161394781244772,HTA8_2002_1,SCLC-A
RU779D_126216014839077,HTA8_2019_1,SCLC-N
RU1195A_231151761020829,HTA8_2011_1,SCLC-A
RU779D_236161839839478,HTA8_2019_1,SCLC-N
RU1065C_131174432402204,HTA8_2002_1,SCLC-A
RU426B_240153832077219,HTA8_2018_1,SCLC-A
RU1145_239477286657460,HTA8_2008_1,SCLC-A
RU1124A_LN_130005127579565,HTA8_2006_1,SCLC-A
RU1293A_169649542478067,HTA8_2015_1,SCLC-N
RU1066_205381687954356,HTA8_2003_1,SCLC-A
RU1124A_LN_227303155485934,HTA8_2006_1,SCLC-A
RU1144_T_121896114482534,HTA8_2007_1,SCLC-A
RU1195A_206061348472685,HTA8_2011_1,SCLC-A
PleuralEffusion_129663530620707,HTA8_2001_1,SCLC-A
RU779D_231684201991068,HTA8_2019_1,SCLC-N
RU1124A_LN_157684166409501,HTA8_2006_1,SCLC-A
RU1066_134377538252019,HTA8_2003_1,SCLC-A
RU1065C_170122123341044,HTA8_2002_1,SCLC-A
RU1065C_165310939949422,HTA8_2002_1,SCLC-A
RU1195A_122285058283958,HTA8_2011_1,SCLC-A
RU1195A_199937951415213,HTA8_2011_1,SCLC-A
RU1065C_226746017994484,HTA8_2002_1,SCLC-A
RU1152_196569577442548,HTA8_2009_1,SCLC-A
RU1145_122308384438700,HTA8_2008_1,SCLC-A
RU1124A_LN_200372682672358,HTA8_2006_1,SCLC-A
RU1124A_LN_122444911172532,HTA8_2006_1,SCLC-A
RU1229A_Frozen_122487982446317,HTA8_2013_1,SCLC-A
RU1065C_165849569836467,HTA8_2002_1,SCLC-A
RU779D_135080724060076,HTA8_2019_1,SCLC-N
RU1144_T_204359601969502,HTA8_2007_1,SCLC-A
RU1065C_134530815089060,HTA8_2002_1,SCLC-A
RU1065C_205381656504558,HTA8_2002_1,SCLC-A
RU1065C_126700284963741,HTA8_2002_1,SCLC-A
RU1144_LN_200561480907996,HTA8_2007_2,SCLC-A
RU779D_227293371750827,HTA8_2019_1,SCLC-N
PleuralEffusion_134600595721061,HTA8_2001_1,SCLC-A
RU1065C_239594412586740,HTA8_2002_1,SCLC-A
RU1065C_192247812479859,HTA8_2002_1,SCLC-A
PleuralEffusion_227903391582629,HTA8_2001_1,SCLC-A
RU1066_230799407434597,HTA8_2003_1,SCLC-A
RU1145_235533413533533,HTA8_2008_1,SCLC-A
RU1145_204762108288414,HTA8_2008_1,SCLC-A
RU1145_165302215268598,HTA8_2008_1,SCLC-A
RU1293A_200994226133341,HTA8_2015_1,SCLC-N
RU779D_165248421247916,HTA8_2019_1,SCLC-N
RU1065C_204772979169189,HTA8_2002_1,SCLC-A
RU1152_192718917298021,HTA8_2009_1,SCLC-A
RU1215_170677500798750,HTA8_2012_1,SCLC-N
RU779D_120847156243173,HTA8_2019_1,SCLC-N
RU1145_227425442249526,HTA8_2008_1,SCLC-A
RU1144_LN_201670702357814,HTA8_2007_2,SCLC-A
RU426B_169707671509724,HTA8_2018_1,SCLC-A
RU1066_230732733037996,HTA8_2003_1,SCLC-A
RU1145_169572513507174,HTA8_2008_1,SCLC-A
RU779D_157560295835494,HTA8_2019_1,SCLC-N
PleuralEffusion_227991424293275,HTA8_2001_1,SCLC-A
RU1144_LN_169768874786085,HTA8_2007_2,SCLC-A
RU779D_135690609416948,HTA8_2019_1,SCLC-N
RU1065C_165329238932342,HTA8_2002_1,SCLC-A
RU1152_134387860983013,HTA8_2009_1,SCLC-A
RU1195A_197271819570405,HTA8_2011_1,SCLC-A
RU1145_162001547843292,HTA8_2008_1,SCLC-A
RU779D_165239938570982,HTA8_2019_1,SCLC-N
PleuralEffusion_236768054856630,HTA8_2001_1,SCLC-A
RU1080C_192171308637091,HTA8_2004_1,SCLC-A
RU1066_235007402228963,HTA8_2003_1,SCLC-A
RU1144_T_161864242837341,HTA8_2007_1,SCLC-A
PleuralEffusion_205381641817518,HTA8_2001_1,SCLC-A
RU1144_LN_130736333375795,HTA8_2007_2,SCLC-A
RU1195A_196592946277726,HTA8_2011_1,SCLC-A
RU1124A_LN_135621992372139,HTA8_2006_1,SCLC-A
RU1181C_126904045882140,HTA8_2010_1,SCLC-N
RU1215_134513501362916,HTA8_2012_1,SCLC-N
RU1065C_231821341743515,HTA8_2002_1,SCLC-A
RU1066_191756797897580,HTA8_2003_1,SCLC-A
PleuralEffusion_200983475837278,HTA8_2001_1,SCLC-A
RU1195A_239594426555748,HTA8_2011_1,SCLC-A
RU1152_160905391458678,HTA8_2009_1,SCLC-A
RU426B_135622024096044,HTA8_2018_1,SCLC-A
RU1124A_LN_200418687867677,HTA8_2006_1,SCLC-A
RU1145_161893233839011,HTA8_2008_1,SCLC-A
RU1293A_135142982708125,HTA8_2015_1,SCLC-N
RU1181C_204222269180710,HTA8_2010_1,SCLC-N
RU779D_205913439820533,HTA8_2019_1,SCLC-N
RU1195A_196707150847395,HTA8_2011_1,SCLC-A
RU1065C_197264066164460,HTA8_2002_1,SCLC-A
RU1195A_122359134242548,HTA8_2011_1,SCLC-A
RU1145_166402827643822,HTA8_2008_1,SCLC-A
RU1145_240490718358883,HTA8_2008_1,SCLC-A
RU1195A_130614986135340,HTA8_2011_1,SCLC-A
RU1124A_LN_131149843589365,HTA8_2006_1,SCLC-A
PleuralEffusion_200426592295221,HTA8_2001_1,SCLC-A
RU1065C_239586911082275,HTA8_2002_1,SCLC-A
RU779D_126681627900278,HTA8_2019_1,SCLC-N
RU1195A_134377511173467,HTA8_2011_1,SCLC-A
RU1144_LN_156453554744558,HTA8_2007_2,SCLC-A
RU1124A_LN_196730652911523,HTA8_2006_1,SCLC-A
RU1152_226829515831668,HTA8_2009_1,SCLC-A
RU1231A_192309015722918,HTA8_2014_1,SCLC-N
RU1066_196174320884571,HTA8_2003_1,SCLC-A
RU1144_T_197135439412652,HTA8_2007_1,SCLC-A
RU1195A_196019714964843,HTA8_2011_1,SCLC-A
RU1065C_156022965689635,HTA8_2002_1,SCLC-A
RU1229A_Frozen_195402197751603,HTA8_2013_1,SCLC-A
RU779D_129447693864372,HTA8_2019_1,SCLC-N
RU1080C_133896474835373,HTA8_2004_1,SCLC-A
RU1065C_191689569758053,HTA8_2002_1,SCLC-A
PleuralEffusion_227903392102262,HTA8_2001_1,SCLC-A
RU1195A_126913529468718,HTA8_2011_1,SCLC-A
PleuralEffusion_201523553520357,HTA8_2001_1,SCLC-A
RU1229A_Frozen_170120900622773,HTA8_2013_1,SCLC-A
RU1065C_121751158610725,HTA8_2002_1,SCLC-A
RU1065C_200444873398059,HTA8_2002_1,SCLC-A
RU1231A_126347847620851,HTA8_2014_1,SCLC-N
RU1229A_Frozen_134994525378286,HTA8_2013_1,SCLC-A
RU1293A_134379436919533,HTA8_2015_1,SCLC-N
RU1152_165309490579166,HTA8_2009_1,SCLC-A
RU779D_235619300822307,HTA8_2019_1,SCLC-N
RU1195A_236220462066918,HTA8_2011_1,SCLC-A
RU426B_122427482237348,HTA8_2018_1,SCLC-A
RU1144_LN_231279489408286,HTA8_2007_2,SCLC-A
RU1124A_LN_133896475392411,HTA8_2006_1,SCLC-A
RU1215_135135350934827,HTA8_2012_1,SCLC-N
RU779D_231282308496670,HTA8_2019_1,SCLC-N
RU1065C_204773010914078,HTA8_2002_1,SCLC-A
RU1215_164698953043244,HTA8_2012_1,SCLC-N
RU1181B_192721179793635,HTA8_2010_2,SCLC-N
RU1065C_170113801311971,HTA8_2002_1,SCLC-A
PleuralEffusion_197145264244588,HTA8_2001_1,SCLC-A
RU1066_170199731813164,HTA8_2003_1,SCLC-A
RU1065C_134542465382237,HTA8_2002_1,SCLC-A
RU1144_LN_134540479059814,HTA8_2007_2,SCLC-A
RU1229A_Frozen_134463456984491,HTA8_2013_1,SCLC-A
RU1065C_126767546612077,HTA8_2002_1,SCLC-A
RU1065C_157560282732771,HTA8_2002_1,SCLC-A
RU1065C_192788812421915,HTA8_2002_1,SCLC-A
RU779D_129440071400875,HTA8_2019_1,SCLC-N
RU1065C_232389351169437,HTA8_2002_1,SCLC-A
RU1124A_LN_166288876760347,HTA8_2006_1,SCLC-A
RU1080C_191141992843998,HTA8_2004_1,SCLC-A
RU1144_LN_134522346790246,HTA8_2007_2,SCLC-A
RU1181C_236161820966300,HTA8_2010_1,SCLC-N
RU1065C_197120272754486,HTA8_2002_1,SCLC-A
PleuralEffusion_204882351929772,HTA8_2001_1,SCLC-A
RU1124A_LN_200501485550891,HTA8_2006_1,SCLC-A
RU779D_196019687123764,HTA8_2019_1,SCLC-N
PleuralEffusion_192788844439396,HTA8_2001_1,SCLC-A
RU1195A_133992889642396,HTA8_2011_1,SCLC-A
RU1080C_122506892917174,HTA8_2004_1,SCLC-A
RU1152_166477694101278,HTA8_2009_1,SCLC-A
RU779D_199884245460773,HTA8_2019_1,SCLC-N
RU1065C_200923762050918,HTA8_2002_1,SCLC-A
RU1145_240154798386078,HTA8_2008_1,SCLC-A
RU1065C_157632209046957,HTA8_2002_1,SCLC-A
RU1065C_135547782876509,HTA8_2002_1,SCLC-A
RU1080C_169727132387573,HTA8_2004_1,SCLC-A
RU1124A_LN_169649555003117,HTA8_2006_1,SCLC-A
RU1144_LN_165327866083612,HTA8_2007_2,SCLC-A
RU1195A_200494264740588,HTA8_2011_1,SCLC-A
RU426B_120778598009253,HTA8_2018_1,SCLC-A
PleuralEffusion_165946191629724,HTA8_2001_1,SCLC-A
RU779D_231220211797291,HTA8_2019_1,SCLC-N
PleuralEffusion_120864470879652,HTA8_2001_1,SCLC-A
RU1065C_121416373394852,HTA8_2002_1,SCLC-A
RU1152_235067382655787,HTA8_2009_1,SCLC-A
RU1195A_135135350905651,HTA8_2011_1,SCLC-A
RU1144_LN_204911389653213,HTA8_2007_2,SCLC-A
RU779D_239997870561133,HTA8_2019_1,SCLC-N
RU1124A_LN_165800162998196,HTA8_2006_1,SCLC-A
RU1181C_130049304095531,HTA8_2010_1,SCLC-N
RU779D_226960766285676,HTA8_2019_1,SCLC-N
RU779D_200502452841830,HTA8_2019_1,SCLC-N
PleuralEffusion_165385726188446,HTA8_2001_1,SCLC-A
RU1080C_164710449043878,HTA8_2004_1,SCLC-A
RU779D_135135304543147,HTA8_2019_1,SCLC-N
RU779D_122291487948078,HTA8_2019_1,SCLC-N
PleuralEffusion_130144714516334,HTA8_2001_1,SCLC-A
RU1145_161893219264878,HTA8_2008_1,SCLC-A
RU1065C_165397824760028,HTA8_2002_1,SCLC-A
RU426B_165248394025772,HTA8_2018_1,SCLC-A
RU779D_232389363494237,HTA8_2019_1,SCLC-N
RU1108a_RPMI_197145264504027,HTA8_2005_3,SCLC-A
RU779D_166480156449699,HTA8_2019_1,SCLC-N
RU1066_227493100505829,HTA8_2003_1,SCLC-A
PleuralEffusion_130126479219484,HTA8_2001_1,SCLC-A
RU1124A_LN_162078870129371,HTA8_2006_1,SCLC-A
RU1065C_161384146294555,HTA8_2002_1,SCLC-A
RU1065C_197120318466356,HTA8_2002_1,SCLC-A
RU1124A_LN_235000959191796,HTA8_2006_1,SCLC-A
RU1152_240153831521587,HTA8_2009_1,SCLC-A
RU779D_192721198631332,HTA8_2019_1,SCLC-N
PleuralEffusion_121339896621292,HTA8_2001_1,SCLC-A
RU1145_130736318441307,HTA8_2008_1,SCLC-A
RU779D_164701771610531,HTA8_2019_1,SCLC-N
RU1229A_Frozen_192324029344612,HTA8_2013_1,SCLC-A
RU1065C_130134903736222,HTA8_2002_1,SCLC-A
RU426B_133906809711012,HTA8_2018_1,SCLC-A
RU1065C_200897576946547,HTA8_2002_1,SCLC-A
RU426B_121339884722597,HTA8_2018_1,SCLC-A
RU1065C_134540465944934,HTA8_2002_1,SCLC-A
RU1065C_235067409587101,HTA8_2002_1,SCLC-A
RU1065C_200502425012078,HTA8_2002_1,SCLC-A
RU1195A_161461199661813,HTA8_2011_1,SCLC-A
RU1124A_LN_130187785849574,HTA8_2006_1,SCLC-A
RU1195A_196576825232806,HTA8_2011_1,SCLC-A
RU1145_197060142943142,HTA8_2008_1,SCLC-A
RU1124A_LN_121735006608243,HTA8_2006_1,SCLC-A
RU1195A_162081957145003,HTA8_2011_1,SCLC-A
RU1065C_164640683583709,HTA8_2002_1,SCLC-A
PleuralEffusion_232330326301475,HTA8_2001_1,SCLC-A
RU1152_133967207418284,HTA8_2009_1,SCLC-A
RU1080C_192265779034022,HTA8_2004_1,SCLC-A
PleuralEffusion_226883202374365,HTA8_2001_1,SCLC-A
RU1231A_231916099226851,HTA8_2014_1,SCLC-N
RU779D_191699084339446,HTA8_2019_1,SCLC-N
RU779D_133855270004571,HTA8_2019_1,SCLC-N
RU1065C_232321046502627,HTA8_2002_1,SCLC-A
RU779D_121733813815709,HTA8_2019_1,SCLC-N
RU1145_230652439095068,HTA8_2008_1,SCLC-A
PleuralEffusion_226829528356636,HTA8_2001_1,SCLC-A
RU1152_227914114558709,HTA8_2009_1,SCLC-A
RU1065C_241097650883828,HTA8_2002_1,SCLC-A
RU1124A_LN_241038775445788,HTA8_2006_1,SCLC-A
PleuralEffusion_161478647929254,HTA8_2001_1,SCLC-A
